,annee,diplome,etablissement,academie,domaine,discipline,situation,nombre_de_reponses,taux_de_reponse,taux_dinsertion,de_diplomes_boursiers,taux_de_chomage_regional,salaire_net_mensuel_median_regional,long_academie,lat_academie
13,2011.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Lettres, langues, arts","Lettres, langues, arts",30 mois après le diplôme,111.0,71.0,81.0,29,11.2,1730.0,43.784645619278834,5.356600072667359
14,2011.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé","Autres sciences, technologies et santé",30 mois après le diplôme,73.0,76.0,90.0,29,11.2,1730.0,43.784645619278834,5.356600072667359
15,2012.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion",Droit,30 mois après le diplôme,150.0,70.0,89.0,29,11.7,1790.0,43.784645619278834,5.356600072667359
16,2012.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion",Économie,30 mois après le diplôme,59.0,64.0,81.0,29,11.7,1790.0,43.784645619278834,5.356600072667359
17,2012.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion","Autres formations juridiques, économiques et de gestion",30 mois après le diplôme,33.0,87.0,85.0,29,11.7,1790.0,43.784645619278834,5.356600072667359
18,2012.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Lettres, langues, arts","Lettres, langues, arts",30 mois après le diplôme,100.0,71.0,85.0,29,11.7,1790.0,43.784645619278834,5.356600072667359
19,2012.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Psychologie,30 mois après le diplôme,82.0,74.0,84.0,29,11.7,1790.0,43.784645619278834,5.356600072667359
20,2012.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé","Autres sciences, technologies et santé",18 mois après le diplôme,93.0,73.0,91.0,29,11.7,1790.0,43.784645619278834,5.356600072667359
21,2012.0,MASTER LMD,Avignon,Aix-Marseille,Sciences humaines et sociales,Ensemble sciences humaines et sociales,18 mois après le diplôme,44.0,75.0,79.0,34,11.7,1790.0,43.784645619278834,5.356600072667359
22,2012.0,MASTER LMD,Avignon,Aix-Marseille,"Sciences, technologies et santé",Sciences de la vie et de la terre,18 mois après le diplôme,32.0,71.0,74.0,34,11.7,1790.0,43.784645619278834,5.356600072667359
23,2013.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion",Droit,18 mois après le diplôme,188.0,73.0,85.0,30,11.4,1840.0,43.784645619278834,5.356600072667359
24,2013.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion",Économie,18 mois après le diplôme,66.0,74.0,81.0,30,11.4,1840.0,43.784645619278834,5.356600072667359
25,2013.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé",Sciences de la vie et de la terre,30 mois après le diplôme,113.0,77.0,81.0,30,11.4,1840.0,43.784645619278834,5.356600072667359
26,2013.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé",Sciences fondamentales,30 mois après le diplôme,60.0,71.0,90.0,30,11.4,1840.0,43.784645619278834,5.356600072667359
27,2013.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé",Sciences de l'ingénieur,30 mois après le diplôme,67.0,69.0,87.0,30,11.4,1840.0,43.784645619278834,5.356600072667359
28,2013.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé","Autres sciences, technologies et santé",18 mois après le diplôme,100.0,80.0,80.0,30,11.4,1840.0,43.784645619278834,5.356600072667359
29,2013.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé","Autres sciences, technologies et santé",30 mois après le diplôme,100.0,80.0,89.0,30,11.4,1840.0,43.784645619278834,5.356600072667359
30,2013.0,MASTER LMD,Avignon,Aix-Marseille,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",30 mois après le diplôme,44.0,77.0,82.0,41,11.4,1840.0,43.784645619278834,5.356600072667359
31,2014.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion",Économie,18 mois après le diplôme,66.0,60.0,87.0,33,11.0,1830.0,43.784645619278834,5.356600072667359
32,2014.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Histoire-géographie,18 mois après le diplôme,28.0,84.0,66.0,33,11.0,1830.0,43.784645619278834,5.356600072667359
33,2014.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Autres sciences humaines et sociales,30 mois après le diplôme,76.0,65.0,86.0,33,11.0,1830.0,43.784645619278834,5.356600072667359
34,2014.0,MASTER LMD,Avignon,Aix-Marseille,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",30 mois après le diplôme,58.0,70.0,86.0,33,11.0,1830.0,43.784645619278834,5.356600072667359
35,2015.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion",30 mois après le diplôme,620.0,65.0,90.0,31,10.3,1830.0,43.784645619278834,5.356600072667359
36,2015.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion",Économie,18 mois après le diplôme,78.0,65.0,91.0,31,10.3,1830.0,43.784645619278834,5.356600072667359
37,2015.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion",Gestion,18 mois après le diplôme,282.0,62.0,90.0,31,10.3,1830.0,43.784645619278834,5.356600072667359
38,2015.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Lettres, langues, arts","Lettres, langues, arts",30 mois après le diplôme,101.0,69.0,79.0,31,10.3,1830.0,43.784645619278834,5.356600072667359
39,2015.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Ensemble sciences humaines et sociales,30 mois après le diplôme,230.0,72.0,86.0,31,10.3,1830.0,43.784645619278834,5.356600072667359
40,2015.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Ensemble sciences humaines et sociales,18 mois après le diplôme,230.0,72.0,79.0,31,10.3,1830.0,43.784645619278834,5.356600072667359
41,2015.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Psychologie,18 mois après le diplôme,61.0,75.0,84.0,31,10.3,1830.0,43.784645619278834,5.356600072667359
42,2015.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé",Sciences de la vie et de la terre,30 mois après le diplôme,125.0,75.0,86.0,31,10.3,1830.0,43.784645619278834,5.356600072667359
43,2015.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé","Autres sciences, technologies et santé",18 mois après le diplôme,103.0,78.0,86.0,31,10.3,1830.0,43.784645619278834,5.356600072667359
44,2015.0,MASTER LMD,Avignon,Aix-Marseille,"Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion",30 mois après le diplôme,30.0,67.0,73.0,40,10.3,1830.0,43.784645619278834,5.356600072667359
45,2015.0,MASTER LMD,Avignon,Aix-Marseille,"Sciences, technologies et santé",Informatique,30 mois après le diplôme,34.0,83.0,97.0,40,10.3,1830.0,43.784645619278834,5.356600072667359
46,2016.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion",Économie,18 mois après le diplôme,70.0,65.0,86.0,34,10.2,1800.0,43.784645619278834,5.356600072667359
47,2016.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Ensemble sciences humaines et sociales,18 mois après le diplôme,229.0,65.0,84.0,34,10.2,1800.0,43.784645619278834,5.356600072667359
48,2016.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé",Sciences fondamentales,18 mois après le diplôme,49.0,67.0,92.0,34,10.2,1800.0,43.784645619278834,5.356600072667359
49,2016.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé",Sciences de l'ingénieur,18 mois après le diplôme,71.0,64.0,99.0,34,10.2,1800.0,43.784645619278834,5.356600072667359
50,2016.0,MASTER LMD,Avignon,Aix-Marseille,Sciences humaines et sociales,Ensemble sciences humaines et sociales,30 mois après le diplôme,47.0,77.0,81.0,45,10.2,1800.0,43.784645619278834,5.356600072667359
51,2016.0,MASTER LMD,Avignon,Aix-Marseille,Sciences humaines et sociales,Information communication,30 mois après le diplôme,30.0,76.0,83.0,45,10.2,1800.0,43.784645619278834,5.356600072667359
52,2017.0,MASTER ENS,Aix-Marseille,Aix-Marseille,Masters enseignement,Masters enseignement,18 mois après le diplôme,320.0,63.0,99.0,18,9.1,1840.0,43.784645619278834,5.356600072667359
53,2017.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion",30 mois après le diplôme,713.0,67.0,93.0,33,9.1,1840.0,43.784645619278834,5.356600072667359
54,2017.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion",Droit,30 mois après le diplôme,289.0,70.0,92.0,33,9.1,1840.0,43.784645619278834,5.356600072667359
55,2017.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Lettres, langues, arts","Lettres, langues, arts",18 mois après le diplôme,95.0,71.0,84.0,33,9.1,1840.0,43.784645619278834,5.356600072667359
56,2017.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Lettres, langues, arts","Lettres, langues, arts",30 mois après le diplôme,95.0,71.0,86.0,33,9.1,1840.0,43.784645619278834,5.356600072667359
57,2017.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Ensemble sciences humaines et sociales,18 mois après le diplôme,258.0,70.0,83.0,33,9.1,1840.0,43.784645619278834,5.356600072667359
58,2017.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",30 mois après le diplôme,385.0,74.0,91.0,33,9.1,1840.0,43.784645619278834,5.356600072667359
59,2017.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé",Sciences fondamentales,18 mois après le diplôme,50.0,73.0,85.0,33,9.1,1840.0,43.784645619278834,5.356600072667359
60,2017.0,MASTER LMD,Avignon,Aix-Marseille,Sciences humaines et sociales,Ensemble sciences humaines et sociales,18 mois après le diplôme,51.0,82.0,83.0,46,9.1,1840.0,43.784645619278834,5.356600072667359
61,2017.0,MASTER LMD,Avignon,Aix-Marseille,Sciences humaines et sociales,Information communication,30 mois après le diplôme,33.0,88.0,88.0,46,9.1,1840.0,43.784645619278834,5.356600072667359
62,2017.0,MASTER LMD,Avignon,Aix-Marseille,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",18 mois après le diplôme,60.0,86.0,91.0,46,9.1,1840.0,43.784645619278834,5.356600072667359
63,2010.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion",Gestion,30 mois après le diplôme,316.0,69.0,93.0,29,11.7,1750.0,43.784645619278834,5.356600072667359
64,2010.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Autres sciences humaines et sociales,30 mois après le diplôme,103.0,80.0,86.0,29,11.7,1750.0,43.784645619278834,5.356600072667359
65,2010.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé",Sciences de l'ingénieur,30 mois après le diplôme,79.0,79.0,85.0,29,11.7,1750.0,43.784645619278834,5.356600072667359
66,2010.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé",Informatique,30 mois après le diplôme,35.0,86.0,94.0,29,11.7,1750.0,43.784645619278834,5.356600072667359
67,2010.0,MASTER LMD,Avignon,Aix-Marseille,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",30 mois après le diplôme,64.0,70.0,86.0,38,11.7,1750.0,43.784645619278834,5.356600072667359
68,2010.0,MASTER LMD,Avignon,Aix-Marseille,"Sciences, technologies et santé",Sciences de la vie et de la terre,30 mois après le diplôme,34.0,66.0,79.0,38,11.7,1750.0,43.784645619278834,5.356600072667359
69,2011.0,MASTER ENS,Aix-Marseille,Aix-Marseille,Masters enseignement,Masters enseignement,30 mois après le diplôme,342.0,75.0,95.0,29,11.2,1730.0,43.784645619278834,5.356600072667359
70,2011.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion",30 mois après le diplôme,528.0,68.0,89.0,29,11.2,1730.0,43.784645619278834,5.356600072667359
71,2011.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Psychologie,30 mois après le diplôme,108.0,79.0,87.0,29,11.2,1730.0,43.784645619278834,5.356600072667359
72,2011.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Information communication,30 mois après le diplôme,76.0,71.0,79.0,29,11.2,1730.0,43.784645619278834,5.356600072667359
73,2011.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé",Informatique,30 mois après le diplôme,30.0,79.0,93.0,29,11.2,1730.0,43.784645619278834,5.356600072667359
74,2011.0,MASTER LMD,Avignon,Aix-Marseille,"Droit, économie et gestion",Gestion,30 mois après le diplôme,37.0,76.0,78.0,37,11.2,1730.0,43.784645619278834,5.356600072667359
75,2012.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion",18 mois après le diplôme,563.0,68.0,85.0,29,11.7,1790.0,43.784645619278834,5.356600072667359
76,2012.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Information communication,18 mois après le diplôme,85.0,70.0,82.0,29,11.7,1790.0,43.784645619278834,5.356600072667359
77,2012.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé",Sciences de l'ingénieur,30 mois après le diplôme,68.0,73.0,88.0,29,11.7,1790.0,43.784645619278834,5.356600072667359
78,2012.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé",Sciences de l'ingénieur,18 mois après le diplôme,68.0,73.0,84.0,29,11.7,1790.0,43.784645619278834,5.356600072667359
79,2012.0,MASTER LMD,Avignon,Aix-Marseille,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",30 mois après le diplôme,52.0,67.0,90.0,34,11.7,1790.0,43.784645619278834,5.356600072667359
80,2012.0,MASTER LMD,Avignon,Aix-Marseille,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",18 mois après le diplôme,52.0,67.0,82.0,34,11.7,1790.0,43.784645619278834,5.356600072667359
81,2012.0,MASTER LMD,Avignon,Aix-Marseille,"Sciences, technologies et santé",Sciences de la vie et de la terre,30 mois après le diplôme,32.0,71.0,84.0,34,11.7,1790.0,43.784645619278834,5.356600072667359
82,2013.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion",Gestion,30 mois après le diplôme,246.0,62.0,93.0,30,11.4,1840.0,43.784645619278834,5.356600072667359
83,2013.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Lettres, langues, arts","Lettres, langues, arts",18 mois après le diplôme,109.0,70.0,79.0,30,11.4,1840.0,43.784645619278834,5.356600072667359
84,2013.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Ensemble sciences humaines et sociales,18 mois après le diplôme,274.0,77.0,81.0,30,11.4,1840.0,43.784645619278834,5.356600072667359
85,2013.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Psychologie,18 mois après le diplôme,85.0,80.0,76.0,30,11.4,1840.0,43.784645619278834,5.356600072667359
86,2013.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Psychologie,30 mois après le diplôme,85.0,80.0,80.0,30,11.4,1840.0,43.784645619278834,5.356600072667359
87,2013.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",30 mois après le diplôme,360.0,75.0,86.0,30,11.4,1840.0,43.784645619278834,5.356600072667359
88,2013.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé",Sciences de l'ingénieur,18 mois après le diplôme,67.0,69.0,79.0,30,11.4,1840.0,43.784645619278834,5.356600072667359
89,2013.0,MASTER LMD,Avignon,Aix-Marseille,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",18 mois après le diplôme,44.0,77.0,78.0,41,11.4,1840.0,43.784645619278834,5.356600072667359
90,2014.0,MASTER ENS,Aix-Marseille,Aix-Marseille,Masters enseignement,Masters enseignement,30 mois après le diplôme,130.0,67.0,99.0,37,11.0,1830.0,43.784645619278834,5.356600072667359
91,2014.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion",Gestion,30 mois après le diplôme,302.0,64.0,92.0,33,11.0,1830.0,43.784645619278834,5.356600072667359
92,2014.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Lettres, langues, arts","Lettres, langues, arts",18 mois après le diplôme,83.0,65.0,83.0,33,11.0,1830.0,43.784645619278834,5.356600072667359
93,2014.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Autres sciences humaines et sociales,18 mois après le diplôme,76.0,65.0,87.0,33,11.0,1830.0,43.784645619278834,5.356600072667359
94,2014.0,MASTER LMD,Avignon,Aix-Marseille,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",18 mois après le diplôme,58.0,70.0,83.0,33,11.0,1830.0,43.784645619278834,5.356600072667359
95,2014.0,MASTER LMD,Avignon,Aix-Marseille,"Sciences, technologies et santé",Informatique,18 mois après le diplôme,30.0,67.0,93.0,33,11.0,1830.0,43.784645619278834,5.356600072667359
96,2015.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Lettres, langues, arts","Lettres, langues, arts",18 mois après le diplôme,101.0,69.0,77.0,31,10.3,1830.0,43.784645619278834,5.356600072667359
97,2015.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Psychologie,30 mois après le diplôme,61.0,75.0,90.0,31,10.3,1830.0,43.784645619278834,5.356600072667359
98,2015.0,MASTER LMD,Avignon,Aix-Marseille,"Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion",18 mois après le diplôme,30.0,67.0,74.0,40,10.3,1830.0,43.784645619278834,5.356600072667359
99,2015.0,MASTER LMD,Avignon,Aix-Marseille,Sciences humaines et sociales,Ensemble sciences humaines et sociales,30 mois après le diplôme,54.0,89.0,66.0,40,10.3,1830.0,43.784645619278834,5.356600072667359
100,2015.0,MASTER LMD,Avignon,Aix-Marseille,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",18 mois après le diplôme,65.0,85.0,89.0,40,10.3,1830.0,43.784645619278834,5.356600072667359
101,2016.0,MASTER ENS,Aix-Marseille,Aix-Marseille,Masters enseignement,Masters enseignement,30 mois après le diplôme,289.0,58.0,97.0,21,10.2,1800.0,43.784645619278834,5.356600072667359
102,2016.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion",Droit,18 mois après le diplôme,247.0,64.0,91.0,34,10.2,1800.0,43.784645619278834,5.356600072667359
103,2016.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion",Économie,30 mois après le diplôme,70.0,65.0,93.0,34,10.2,1800.0,43.784645619278834,5.356600072667359
104,2016.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion",Gestion,18 mois après le diplôme,283.0,60.0,93.0,34,10.2,1800.0,43.784645619278834,5.356600072667359
105,2016.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion","Autres formations juridiques, économiques et de gestion",30 mois après le diplôme,42.0,75.0,81.0,34,10.2,1800.0,43.784645619278834,5.356600072667359
106,2016.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Lettres, langues, arts","Lettres, langues, arts",30 mois après le diplôme,93.0,68.0,83.0,34,10.2,1800.0,43.784645619278834,5.356600072667359
107,2016.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Ensemble sciences humaines et sociales,30 mois après le diplôme,229.0,65.0,89.0,34,10.2,1800.0,43.784645619278834,5.356600072667359
108,2010.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Histoire-géographie,30 mois après le diplôme,40.0,77.0,80.0,29,11.7,1750.0,43.784645619278834,5.356600072667359
109,2010.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Information communication,30 mois après le diplôme,66.0,76.0,89.0,29,11.7,1750.0,43.784645619278834,5.356600072667359
110,2011.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion",Gestion,30 mois après le diplôme,280.0,66.0,92.0,29,11.2,1730.0,43.784645619278834,5.356600072667359
111,2011.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Autres sciences humaines et sociales,30 mois après le diplôme,92.0,76.0,77.0,29,11.2,1730.0,43.784645619278834,5.356600072667359
112,2011.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé",Sciences de l'ingénieur,30 mois après le diplôme,70.0,73.0,90.0,29,11.2,1730.0,43.784645619278834,5.356600072667359
113,2011.0,MASTER LMD,Avignon,Aix-Marseille,"Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion",30 mois après le diplôme,46.0,75.0,78.0,37,11.2,1730.0,43.784645619278834,5.356600072667359
114,2011.0,MASTER LMD,Avignon,Aix-Marseille,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",30 mois après le diplôme,47.0,72.0,85.0,37,11.2,1730.0,43.784645619278834,5.356600072667359
115,2012.0,MASTER ENS,Aix-Marseille,Aix-Marseille,Masters enseignement,Masters enseignement,30 mois après le diplôme,179.0,79.0,94.0,34,11.7,1790.0,43.784645619278834,5.356600072667359
116,2012.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Ensemble sciences humaines et sociales,30 mois après le diplôme,256.0,74.0,81.0,29,11.7,1790.0,43.784645619278834,5.356600072667359
117,2012.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé",Sciences de la vie et de la terre,30 mois après le diplôme,129.0,74.0,80.0,29,11.7,1790.0,43.784645619278834,5.356600072667359
118,2012.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé",Sciences fondamentales,30 mois après le diplôme,86.0,77.0,91.0,29,11.7,1790.0,43.784645619278834,5.356600072667359
119,2012.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé",Informatique,18 mois après le diplôme,38.0,84.0,87.0,29,11.7,1790.0,43.784645619278834,5.356600072667359
120,2013.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Information communication,18 mois après le diplôme,81.0,71.0,83.0,30,11.4,1840.0,43.784645619278834,5.356600072667359
121,2014.0,MASTER ENS,Aix-Marseille,Aix-Marseille,Masters enseignement,Masters enseignement,18 mois après le diplôme,130.0,67.0,98.0,37,11.0,1830.0,43.784645619278834,5.356600072667359
122,2014.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion","Ensemble formations juridiques, économiques et de gestion",18 mois après le diplôme,633.0,66.0,87.0,33,11.0,1830.0,43.784645619278834,5.356600072667359
123,2014.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion",Économie,30 mois après le diplôme,66.0,60.0,83.0,33,11.0,1830.0,43.784645619278834,5.356600072667359
124,2014.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion","Autres formations juridiques, économiques et de gestion",18 mois après le diplôme,42.0,75.0,83.0,33,11.0,1830.0,43.784645619278834,5.356600072667359
125,2014.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Droit, économie et gestion","Autres formations juridiques, économiques et de gestion",30 mois après le diplôme,42.0,75.0,83.0,33,11.0,1830.0,43.784645619278834,5.356600072667359
126,2014.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Ensemble sciences humaines et sociales,18 mois après le diplôme,261.0,71.0,76.0,33,11.0,1830.0,43.784645619278834,5.356600072667359
127,2014.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Information communication,18 mois après le diplôme,94.0,69.0,74.0,33,11.0,1830.0,43.784645619278834,5.356600072667359
128,2014.0,MASTER LMD,Aix-Marseille,Aix-Marseille,Sciences humaines et sociales,Information communication,30 mois après le diplôme,94.0,69.0,73.0,33,11.0,1830.0,43.784645619278834,5.356600072667359
129,2014.0,MASTER LMD,Aix-Marseille,Aix-Marseille,"Sciences, technologies et santé","Ensemble sciences, technologies et santé",18 mois après le diplôme,407.0,72.0,81.0,33,11.0,1830.0,43.784645619278834,5.356600072667359
